strategy,games,wins,losses,draws,winRate,asA_games,asA_winRate,asB_games,asB_winRate
default,2002,606,1283,113,0.3027,1001,0.3077,1001,0.2977
monoBlue,2002,1538,366,98,0.7682,1001,0.7822,1001,0.7542
monoBrute,2002,616,1214,172,0.3077,1001,0.3097,1001,0.3057
monoGreen,2002,1115,419,468,0.5569,1001,0.5544,1001,0.5594
monoImp,2002,1192,763,47,0.5954,1001,0.5834,1001,0.6074
monoRed,2002,537,1140,325,0.2682,1001,0.2637,1001,0.2727
monoRunner,2002,679,1108,215,0.3392,1001,0.3367,1001,0.3417
monoTank,2002,7,1819,176,0.0035,1001,0.005,1001,0.002
monoViolet,2002,1575,217,210,0.7867,1001,0.7722,1001,0.8012
monoWisp,2002,376,1458,168,0.1878,1001,0.1878,1001,0.1878
monoYellow,2002,1722,202,78,0.8601,1001,0.8571,1001,0.8631
rush,2002,1341,489,172,0.6698,1001,0.6723,1001,0.6673
turtle,2002,220,1046,736,0.1099,1001,0.1099,1001,0.1099
